detection_backend,recognition_backend,preprocess_mode,alignment,deepface_model,gallery_persons,gallery_images,gallery_detection_rate,probe_images,probe_detection_rate,probe_embedding_rate,avg_detection_ms,avg_embedding_ms,threshold,tp,fp,fn,tn,accuracy,tpr,fpr,precision,f1
dlib_hog,dlib,none,True,,15,30,1.0,59,1.0,1.0,16.638407865132884,170.6593348314599,0.4,17,0,32,10,0.4576271186440678,0.3469387755102041,0.0,1.0,0.5151515151515151
dlib_hog,dlib,none,True,,15,30,1.0,59,1.0,1.0,16.638407865132884,170.6593348314599,0.5,43,0,6,10,0.8983050847457628,0.8775510204081632,0.0,1.0,0.9347826086956522
dlib_hog,dlib,none,True,,15,30,1.0,59,1.0,1.0,16.638407865132884,170.6593348314599,0.6,48,3,0,8,0.9491525423728814,1.0,0.2727272727272727,0.9411764705882353,0.9696969696969697
dlib_hog,dlib,none,True,,15,30,1.0,59,1.0,1.0,16.638407865132884,170.6593348314599,0.7,48,11,0,0,0.8135593220338984,1.0,1.0,0.8135593220338984,0.897196261682243
dlib_hog,dlib,resize,True,,15,30,1.0,59,1.0,1.0,16.586196629279502,171.85249999994502,0.3,1,0,48,10,0.1864406779661017,0.02040816326530612,0.0,1.0,0.04
dlib_hog,dlib,resize,True,,15,30,1.0,59,1.0,1.0,16.586196629279502,171.85249999994502,0.4,18,0,31,10,0.4745762711864407,0.3673469387755102,0.0,1.0,0.5373134328358209
dlib_hog,dlib,resize,True,,15,30,1.0,59,1.0,1.0,16.586196629279502,171.85249999994502,0.5,41,1,7,10,0.864406779661017,0.8541666666666666,0.09090909090909091,0.9761904761904762,0.9111111111111111
dlib_hog,dlib,resize,True,,15,30,1.0,59,1.0,1.0,16.586196629279502,171.85249999994502,0.6,46,3,1,9,0.9322033898305084,0.9787234042553191,0.25,0.9387755102040817,0.9583333333333334
dlib_hog,dlib,resize,True,,15,30,1.0,59,1.0,1.0,16.586196629279502,171.85249999994502,0.7,47,11,0,1,0.8135593220338984,1.0,0.9166666666666666,0.8103448275862069,0.8952380952380953
mediapipe,dlib,pad_resize,False,,15,30,1.0,59,1.0,1.0,1.3659898876325356,163.07332134832842,0.3,1,0,48,10,0.1864406779661017,0.02040816326530612,0.0,1.0,0.04
mediapipe,dlib,pad_resize,False,,15,30,1.0,59,1.0,1.0,1.3659898876325356,163.07332134832842,0.4,13,0,36,10,0.3898305084745763,0.2653061224489796,0.0,1.0,0.41935483870967744
mediapipe,dlib,pad_resize,False,,15,30,1.0,59,1.0,1.0,1.3659898876325356,163.07332134832842,0.5,43,0,6,10,0.8983050847457628,0.8775510204081632,0.0,1.0,0.9347826086956522
mediapipe,dlib,pad_resize,False,,15,30,1.0,59,1.0,1.0,1.3659898876325356,163.07332134832842,0.6,48,1,1,9,0.9661016949152542,0.9795918367346939,0.1,0.9795918367346939,0.9795918367346939
mediapipe,dlib,pad_resize,False,,15,30,1.0,59,1.0,1.0,1.3659898876325356,163.07332134832842,0.7,49,8,0,2,0.864406779661017,1.0,0.8,0.8596491228070176,0.9245283018867925
